Tarefa;Evento Plugin
Falha_de_TI-Atualizar_Par_Metalico.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Atualizar_Par_Metalico_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Atualizar_Perfil_do_Cliente_no_Inventario.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Atualizar_Perfil_do_Cliente_no_Inventario_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Atualizar_Perfil_no_Ativador.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Cancelar_Alocar_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Cancelar_Criar_Projeto.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Cancelar_Criar_Projeto_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Cancelar_Criar_Projeto_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Cancelar_Desalocar_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Cancelar_Realocar_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Cancelar_Reserva_de_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Concluir_Cancelamento.manualTask;Workforce_received
Falha_de_TI-Concluir_Projeto.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Concluir_Projeto_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Concluir_Projeto_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Criar_Projeto.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Criar_Projeto_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Criar_Projeto_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Desalocar_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Desativar_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Desativar_Rede_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Desenhar_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Desenhar_Rede_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Get_Kit_Details.manualTask;Workforce_UpdateTaskSLA_Plugin
Falha_de_TI-Iniciar_Monitoramento.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Liberar_Acessos.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Liberar_Par_Metalico.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Necessario_Viabilidade_de_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Obter_Detalhes_da_Rede_Antiga.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Obter_Detalhes_da_Rede_Antiga_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Obter_Detalhes_de_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Obter_Detalhes_de_Rede_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Obter_detalhes_do_Last_Mile_Parceiro_Automatico.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Realocar_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Reconfiguracao_Automatica.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Reconfiguracao_Automatica_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Reconfiguracao_Automatica_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Redesenhar_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Redesenhar_Rede_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Remover_Monitoramento.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Requisitar_Equipamento_Conversor.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Requisitar_Equipamento_CPE.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Retomar_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Retormar_Monitoramento_em_Gerencia.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Suspender_Monitoramento.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Suspender_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Validar_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Verificar_se_CEP_esta_Disponivel.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Verifica_Tipo_de_Envolvimento.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Viabilidade_de_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Viabilidade_do_Produto.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_no_Desenho_de_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_no_Desenho_de_Rede_ADSL.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_no_Desenho_de_Rede_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Gerenciamento_de_Entrega.manualTask;WorkforceAndBuscaSLA_Plugin
Gerenciamento_de_Entrega_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Gestao_Desativacao_Rede.manualTask;Workforce_UpdateTaskSLA_Plugin
Gestao_de_Last_Mile_Parceiro.manualTask;WorkforceAndBuscaSLA_Plugin
Gestao_de_Last_Mile_Parceiro_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Iniciar_Monitoramento_na_Gerencia_Manual.manualTask;Workforce_UpdateTaskSLA_Plugin
Instalar_e_Testar_Servico_Manual.manualTask;WFCampoAndUpdateTaskSLA_Plugin
Instalar_e_Testar_Servico_Manual_PE.manualTask;WFCampoAndUpdateTaskSLA_Plugin
Investigacao_e_Diagnostico_Cor_Dados.manualTask;WorkforceAndBuscaSLA_Plugin
Investigacao_e_Diagnostico_Cor_TX.manualTask;WorkforceAndBuscaSLA_Plugin
Investigacao_e_Diagnostico_Mantenedora_Dados.manualTask;WFCampoAndBuscaSLA_Plugin
Investigacao_e_Diagnostico_Mantenedora_TX.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Aceite_do_Cliente.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Aceite_do_Cliente2.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Aceite_do_Cliente3.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Analise_de_Falha-Atualizar_Cadastro_no_Inventario.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Analise_de_Falha-Concluir_Projeto.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Analise_de_Falha-Modificar_Equipamento-Incidente.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Analise_de_Falha_Criar_Projeto.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Atualizar_Cadastro_Manual.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Devolver_Equipamento.manualTask;WorkforceAndBuscaSLA_Plugin
IWO-Falha_de_TI-Atualizar_Cadastro_no_Inventario.manualTask;WorkforceAndBuscaSLA_Plugin
